ticket_id,client_id,created_at,subject,status,resolved_at,category,assigned_to
3e4601fa,client_001,2026-01-20 17:54:52,General inquiry,resolved,2026-01-21 08:54:52,general,agent_01
ebba11c9,client_004,2025-12-14 17:54:52,General inquiry,resolved,2025-12-15 02:54:52,general,agent_05
d3d03a89,client_005,2026-01-18 17:54:52,General inquiry,resolved,2026-01-19 17:54:52,general,agent_02
c2d53c1b,client_008,2026-01-15 17:54:52,General inquiry,resolved,2026-01-15 23:54:52,general,agent_02
168f1366,client_011,2026-01-19 17:54:52,General inquiry,resolved,2026-01-19 23:54:52,general,agent_01
fb0ad556,client_019,2025-12-12 17:54:52,General inquiry,resolved,2025-12-13 15:54:52,general,agent_04
47e289c9,client_026,2025-12-21 17:54:52,General inquiry,resolved,2025-12-21 21:54:52,general,agent_02
e268777f,client_028,2026-01-28 17:54:52,General inquiry,resolved,2026-01-29 04:54:52,general,agent_04
969699c6,client_030,2026-01-02 17:54:52,General inquiry,resolved,2026-01-03 05:54:52,general,agent_04
b6cf1208,client_034,2026-01-13 17:54:52,General inquiry,resolved,2026-01-13 20:54:52,general,agent_01
19b59ab1,client_035,2026-01-19 17:54:52,General inquiry,resolved,2026-01-20 13:54:52,general,agent_02
27958c67,client_043,2026-01-30 17:54:52,General inquiry,resolved,2026-01-31 17:54:52,general,agent_05
0a7e1fc2,client_046,2026-01-03 17:54:52,General inquiry,resolved,2026-01-04 14:54:52,general,agent_02
df0f8caf,client_049,2025-12-23 17:54:52,General inquiry,resolved,2025-12-23 22:54:52,general,agent_05
4a62a5c2,client_050,2026-01-17 17:54:52,General inquiry,resolved,2026-01-18 05:54:52,general,agent_02
dd1eed61,client_051,2026-01-17 17:54:52,General inquiry,resolved,2026-01-18 02:54:52,general,agent_04
85d5db0f,client_052,2026-01-07 17:54:52,General inquiry,resolved,2026-01-08 00:54:52,general,agent_03
9211ae3d,client_056,2026-01-16 17:54:52,General inquiry,resolved,2026-01-17 14:54:52,general,agent_03
5e835112,client_063,2025-12-16 17:54:52,General inquiry,resolved,2025-12-17 13:54:52,general,agent_03
e55d5843,client_064,2026-01-16 17:54:52,General inquiry,resolved,2026-01-17 11:54:52,general,agent_04
19bbd722,client_065,2026-01-07 17:54:52,General inquiry,resolved,2026-01-08 13:54:52,general,agent_02
4ae76f72,client_069,2025-12-26 17:54:52,General inquiry,resolved,2025-12-26 22:54:52,general,agent_04
24c937a7,client_077,2026-01-02 17:54:52,General inquiry,resolved,2026-01-03 12:54:52,general,agent_05
991f7d7b,client_083,2025-12-25 17:54:52,General inquiry,resolved,2025-12-25 21:54:52,general,agent_02
d7f60452,client_086,2026-01-03 17:54:52,General inquiry,resolved,2026-01-04 15:54:52,general,agent_04
0d734547,client_088,2026-01-13 17:54:52,General inquiry,resolved,2026-01-13 21:54:52,general,agent_03
471b2508,client_092,2025-12-13 17:54:52,General inquiry,resolved,2025-12-14 05:54:52,general,agent_01
efcef202,client_094,2025-12-26 17:54:52,General inquiry,resolved,2025-12-27 09:54:52,general,agent_03
a8aadc61,client_096,2025-12-21 17:54:52,General inquiry,resolved,2025-12-22 03:54:52,general,agent_01
39fd91b1,client_100,2026-01-12 17:54:52,General inquiry,resolved,2026-01-12 22:54:52,general,agent_03
4854a7d6,client_103,2025-12-28 17:54:52,General inquiry,resolved,2025-12-29 16:54:52,general,agent_05
c408ab70,client_105,2025-12-24 17:54:52,General inquiry,resolved,2025-12-25 17:54:52,general,agent_01
38a82270,client_106,2026-01-14 17:54:52,General inquiry,resolved,2026-01-15 12:54:52,general,agent_01
2a2db32d,client_111,2026-01-04 17:54:52,General inquiry,resolved,2026-01-04 20:54:52,general,agent_04
385007ff,client_116,2025-12-13 17:54:52,General inquiry,resolved,2025-12-14 06:54:52,general,agent_01
ee34d390,client_117,2026-01-26 17:54:52,General inquiry,resolved,2026-01-26 22:54:52,general,agent_04
4e075a90,client_123,2025-12-29 17:54:52,General inquiry,resolved,2025-12-30 06:54:52,general,agent_03
eb354ce8,client_126,2025-12-26 17:54:52,General inquiry,resolved,2025-12-27 09:54:52,general,agent_04
faf963fc,client_129,2025-12-08 17:54:52,General inquiry,resolved,2025-12-09 07:54:52,general,agent_01
773e93ea,client_133,2026-01-02 17:54:52,General inquiry,resolved,2026-01-03 12:54:52,general,agent_05
0e047a27,client_136,2025-12-28 17:54:52,General inquiry,resolved,2025-12-28 20:54:52,general,agent_04
d09b986d,client_137,2025-12-15 17:54:52,General inquiry,resolved,2025-12-16 15:54:52,general,agent_05
9c719ffc,client_139,2025-12-21 17:54:52,General inquiry,resolved,2025-12-22 15:54:52,general,agent_04
811259d0,client_140,2025-12-24 17:54:52,General inquiry,resolved,2025-12-25 01:54:52,general,agent_04
9b947da3,client_141,2026-01-05 17:54:52,General inquiry,resolved,2026-01-06 12:54:52,general,agent_04
0b372ec2,client_144,2026-01-02 17:54:52,General inquiry,resolved,2026-01-03 07:54:52,general,agent_05
0f0db1d7,client_145,2026-01-13 17:54:52,General inquiry,resolved,2026-01-14 06:54:52,general,agent_04
f26c1e38,client_146,2025-12-19 17:54:52,General inquiry,resolved,2025-12-20 01:54:52,general,agent_02
124935d4,client_147,2026-01-07 17:54:52,General inquiry,resolved,2026-01-08 09:54:52,general,agent_04
